,Statistics,Select,Mohamed Salah,Luis Diaz,Darwin Nunez,Diogo Jota,Roberto Firmino,Bukayo Saka,Martinelli,Gabriel Jesus,Eddie Nketiah,Emile Smith Rowe,Ollie Watkins,Danny Ings,Leon Bailey,Emi Buendia,Philippe Coutinho,Marcus Tavernier,Ivan Toney,Yoane Wissa,Bryan Mbeumo,Danny Welbeck,Enock Mwepu,Neal Maupay,Leandro Trossard,Armando Broja,Raheem Sterling,Kai Havertz,Christian Pulisic,Mason Mount,Odsonne Edouard,Jean-Philippe Mateta,Wilfried Zaha,Jordan Ayew,Eberechi Eze,Michael Olise,Anthony Gordon,Demarai Gray,Dwight McNeil,Salomón Rondón,Aleksandar Mitrovic,Bobby Reid,Daniel James,Jack Harrison,Joe Gelhardt,Rodrigo,Brenden Aaronson,Jamie Vardy,Patson Daka,Kelechi Iheanacho,Dennis Praet,Harvey Barnes,Erling Haaland,Riyad Mahrez,Jack Grealish,Phil Foden,Bernardo Silva,Marcus Rashford,Jadon Sancho,Anthony Elanga,Cristiano Ronaldo,Antony,Anthony Martial,Bruno Fernandes,Miguel Almiron,Allan Saint-Maximin,Callum Wilson,Ryan Fraser,Alexander Isak,Chris Wood,Jacob Murphy,Taiwo Awoniyi,Emmanuel Dennis,Brennan Johnson,Jesse Lingard,Che Adams,Adam Armstrong,Mohamed Elyounoussi,Sekou Mara,Joe Aribo,Stuart Armstrong,Harry Kane,Richarlison,Son Heung-min,Dejan Kulusevski,Lucas Moura,Jarrod Bowen,Michail Antonio,Gianluca Scamacca,Maxwel Cornet,Said Benrahma,Pablo Fornals,Raul Jimenez,Hwang Hee-chan,Sasa Kalajdzic,Pedro Neto,Goncalo Guedes,Daniel Podence,Adama Traore
0,Non-Penalty Goals,,0.49,0.44,0.62,0.47,0.64,0.25,0.29,0.47,0.53,0.56,0.3,0.33,0.08,0.19,0.25,0.0,0.29,0.47,0.12,0.25,0.16,0.23,0.36,0.27,0.49,0.36,0.36,0.32,0.2,0.42,0.43,0.13,0.08,0.13,0.19,0.11,0.03,0.14,0.68,0.26,0.15,0.29,0.21,0.36,0.08,0.49,0.61,0.3,0.12,0.29,1.05,0.4,0.13,0.48,0.28,0.35,0.25,0.16,0.48,0.49,0.21,0.17,0.2,0.14,0.43,0.11,0.28,0.12,0.0,0.52,0.35,0.15,0.0,0.37,0.14,0.13,0.44,0.18,0.1,0.46,0.27,0.62,0.3,0.13,0.39,0.17,0.64,0.4,0.26,0.13,0.16,0.1,0.3,0.08,0.3,0.19,0.06
1,Non-Penalty xG,,0.52,0.37,0.51,0.59,0.48,0.26,0.32,0.51,0.5,0.29,0.32,0.36,0.14,0.2,0.25,0.09,0.28,0.29,0.25,0.35,0.15,0.25,0.24,0.31,0.48,0.42,0.31,0.26,0.31,0.48,0.18,0.15,0.11,0.1,0.16,0.19,0.08,0.37,0.46,0.18,0.2,0.15,0.39,0.23,0.15,0.35,0.46,0.3,0.14,0.3,0.8,0.33,0.2,0.41,0.18,0.23,0.17,0.25,0.45,0.23,0.11,0.22,0.19,0.16,0.38,0.16,0.38,0.19,0.19,0.5,0.26,0.11,0.09,0.33,0.27,0.23,0.37,0.25,0.16,0.5,0.31,0.47,0.2,0.2,0.35,0.27,0.41,0.3,0.2,0.12,0.2,0.16,0.33,0.19,0.15,0.15,0.13
2,Shots Total,,4.01,3.24,3.83,3.24,3.09,2.91,2.82,3.27,3.27,2.07,2.19,2.82,2.09,2.23,3.04,1.17,2.65,2.33,2.36,2.6,1.61,2.53,2.29,2.17,2.07,2.82,1.78,2.72,2.02,3.3,2.29,1.23,1.56,1.52,1.99,2.61,1.51,3.0,3.93,1.31,1.86,1.44,2.89,2.43,1.21,2.17,2.42,2.27,1.34,3.07,3.83,2.93,2.0,2.59,1.31,2.04,1.17,1.61,3.77,3.52,1.56,2.17,2.09,2.22,2.04,1.4,3.04,1.58,1.87,2.61,2.13,1.37,1.28,2.28,2.52,1.74,3.74,1.94,2.29,3.75,2.61,2.57,1.89,1.83,2.44,2.06,3.18,2.38,2.83,1.45,1.91,1.44,2.55,2.37,2.28,2.27,1.47
3,Assists,,0.37,0.18,0.12,0.22,0.37,0.28,0.25,0.32,0.18,0.06,0.11,0.22,0.15,0.28,0.13,0.0,0.15,0.12,0.21,0.2,0.4,0.09,0.1,0.0,0.23,0.1,0.2,0.34,0.2,0.07,0.0,0.18,0.23,0.33,0.06,0.11,0.03,0.14,0.0,0.13,0.15,0.13,0.21,0.08,0.24,0.15,0.22,0.42,0.12,0.45,0.26,0.22,0.09,0.3,0.26,0.17,0.11,0.16,0.09,0.24,0.21,0.27,0.0,0.14,0.0,0.16,0.07,0.0,0.07,0.04,0.22,0.0,0.0,0.12,0.21,0.09,0.11,0.18,0.0,0.24,0.2,0.22,0.49,0.38,0.22,0.17,0.0,0.05,0.15,0.13,0.08,0.1,0.24,0.08,0.19,0.14,0.24
4,xG Assisted,,0.28,0.2,0.14,0.19,0.17,0.21,0.2,0.21,0.17,0.13,0.11,0.09,0.09,0.26,0.16,0.08,0.16,0.04,0.1,0.13,0.14,0.09,0.14,0.08,0.2,0.1,0.09,0.2,0.13,0.11,0.16,0.11,0.14,0.26,0.12,0.14,0.14,0.09,0.03,0.04,0.11,0.12,0.15,0.13,0.11,0.07,0.2,0.21,0.21,0.16,0.22,0.18,0.29,0.23,0.17,0.13,0.16,0.14,0.12,0.17,0.07,0.26,0.05,0.15,0.05,0.15,0.12,0.04,0.11,0.07,0.12,0.03,0.13,0.13,0.12,0.11,0.09,0.3,0.1,0.24,0.1,0.25,0.21,0.27,0.12,0.16,0.1,0.07,0.14,0.16,0.07,0.09,0.26,0.17,0.13,0.21,0.15
5,npxG + xA,,0.8,0.56,0.63,0.79,0.65,0.47,0.52,0.72,0.66,0.42,0.43,0.45,0.22,0.46,0.41,0.17,0.44,0.33,0.35,0.48,0.29,0.34,0.38,0.39,0.68,0.52,0.4,0.46,0.44,0.58,0.34,0.26,0.24,0.36,0.28,0.33,0.22,0.46,0.49,0.22,0.3,0.28,0.56,0.36,0.25,0.43,0.67,0.52,0.36,0.46,1.01,0.52,0.49,0.64,0.35,0.36,0.33,0.39,0.57,0.4,0.19,0.48,0.23,0.31,0.43,0.31,0.5,0.23,0.29,0.57,0.38,0.12,0.21,0.46,0.38,0.34,0.46,0.55,0.26,0.74,0.4,0.72,0.41,0.47,0.47,0.43,0.51,0.37,0.34,0.28,0.28,0.25,0.58,0.35,0.28,0.37,0.28
6,Shot-Creating Actions,,3.89,3.65,1.48,3.06,3.09,4.23,3.72,3.63,2.65,3.26,2.14,1.68,2.09,3.48,3.29,1.82,2.53,1.46,2.21,2.65,2.02,2.44,3.16,1.81,3.52,2.62,2.29,3.93,2.46,1.61,3.3,2.11,3.11,3.16,2.89,3.31,2.83,1.86,2.85,1.05,1.9,2.97,2.48,2.31,2.59,1.53,2.15,2.62,2.39,2.33,2.36,3.96,5.16,3.53,3.69,2.09,3.19,1.88,2.62,3.52,1.87,4.02,2.04,3.65,1.3,2.8,2.62,1.38,2.81,2.22,3.25,0.92,3.1,2.16,1.68,2.13,2.53,3.21,3.4,3.42,2.58,3.95,3.21,3.46,2.47,2.68,2.15,1.37,3.09,2.6,1.91,1.85,2.55,3.8,3.07,3.57,2.76
8,Passes Attempted,,35.66,39.16,17.93,30.98,45.64,36.8,33.73,32.39,25.37,39.92,21.0,18.86,27.16,44.05,46.88,33.9,23.19,19.44,26.39,17.87,35.89,24.28,37.03,18.5,35.97,32.18,33.3,49.07,24.91,19.73,30.23,31.16,42.35,48.82,28.14,30.59,33.0,23.43,19.79,22.04,19.52,36.06,19.71,34.97,30.81,12.55,18.07,26.3,34.75,31.42,19.63,54.66,46.75,46.98,58.95,29.84,42.72,31.07,32.43,44.7,28.89,56.97,29.05,23.9,11.58,29.91,19.24,21.48,34.66,21.14,22.78,15.25,33.28,21.82,22.64,27.49,17.93,33.07,44.11,27.1,22.21,35.27,31.77,40.09,25.68,19.97,22.88,21.91,34.4,44.73,24.73,30.67,27.16,39.8,28.65,37.33,33.06
9,Pass Completion %,,0.78,0.84,0.55,0.73,0.8,0.76,0.75,0.83,0.82,0.83,0.72,0.71,0.64,0.8,0.8,0.65,0.6,0.68,0.66,0.81,0.76,0.76,0.76,0.62,0.81,0.81,0.79,0.78,0.73,0.71,0.77,0.75,0.78,0.72,0.68,0.69,0.7,0.69,0.58,0.67,0.65,0.65,0.69,0.73,0.74,0.7,0.76,0.8,0.74,0.73,0.72,0.82,0.86,0.81,0.89,0.72,0.82,0.76,0.81,0.78,0.83,0.75,0.81,0.68,0.68,0.7,0.71,0.55,0.63,0.7,0.69,0.56,0.86,0.69,0.71,0.68,0.67,0.75,0.8,0.69,0.65,0.75,0.83,0.75,0.66,0.64,0.74,0.65,0.75,0.73,0.72,0.81,0.68,0.74,0.66,0.71,0.72
10,Progressive Passes,,3.64,3.54,1.48,2.62,3.79,2.49,2.06,2.12,1.06,2.32,1.27,1.14,2.09,5.58,4.27,1.82,2.24,1.46,1.71,1.3,1.77,1.38,4.29,0.93,2.94,2.29,2.14,4.59,2.02,0.28,3.14,2.07,3.43,4.88,2.19,1.99,2.37,0.71,1.36,1.05,1.75,3.29,1.96,2.75,2.1,1.19,0.88,1.97,2.51,2.99,1.5,4.03,4.05,3.29,3.02,2.18,3.11,1.39,1.75,4.13,2.08,5.66,2.59,2.36,0.56,1.78,1.36,1.09,2.21,1.91,2.34,0.76,2.68,1.55,1.89,2.0,1.32,2.73,4.52,3.61,1.36,2.22,2.72,4.28,1.6,1.27,1.35,1.06,2.75,5.03,1.67,2.15,2.25,2.62,3.07,4.53,1.9
